sentimen,tweet,remove_unrelevant_emoji,emojis,tweet_clean,tweet_proc_punct,tweet_no_punct,tweet_no_sc,tweet_lowercase,tweet_no_slang,tweet_no_sw,tweet_no_number,tweet_no_extra_spaces,tweet_lem,final_tweet,tweet_tokenization
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini 👇 pasti hoax buatan penguasa, ya kan @rockygerung?😜 https://twitter.com/mediaindonesia/status/1117575436337160192?s=21👍","Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini 👇 pasti hoax buatan penguasa, ya kan @rockygerung?😜 https://twitter.com/mediaindonesia/status/1117575436337160192?s=21",👇😜,"Kata prabowo Indonesia tidak dihargai bangsa asing!   Berita ini 👇 pasti hoax buatan penguasa, ya kan rockygerung?😜 👍","Kata prabowo Indonesia tidak dihargai bangsa asing!   Berita ini 👇 pasti hoax buatan penguasa, ya kan rockygerung?😜 👍",Kata prabowo Indonesia tidak dihargai bangsa asing    Berita ini   pasti hoax buatan penguasa  ya kan rockygerung    ,Kata prabowo Indonesia tidak dihargai bangsa asing    Berita ini   pasti hoax buatan penguasa  ya kan rockygerung    ,kata prabowo indonesia tidak dihargai bangsa asing    berita ini   pasti hoax buatan penguasa  ya kan rockygerung    ,kata prabowo indonesia tidak dihargai bangsa asing    berita ini   pasti isu bohong buatan penguasa  iya kan rockygerung    ,prabowo indonesia tidak dihargai bangsa asing berita isu bohong buatan penguasa rockygerung,prabowo indonesia tidak dihargai bangsa asing berita isu bohong buatan penguasa rockygerung,prabowo indonesia tidak dihargai bangsa asing berita isu bohong buatan penguasa rockygerung,prabowo indonesia tidak harga bangsa asing berita isu bohong buat kuasa rockygerung,prabowo indonesia tidak harga bangsa asing berita isu bohong buat kuasa rockygerung 👇😜,"['prabowo', 'indonesia', 'tidak', 'harga', 'bangsa', 'asing', 'berita', 'isu', 'bohong', 'buat', 'kuasa', 'rockygerung', '👇😜']"
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZV😂","Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZV",,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  😂","Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  😂",Batuan Langka  Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy    ,Batuan Langka  Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy    ,batuan langka  tasbih jokowi hadiah dari habib luthfi seharga mercy    ,batuan langka  tasbih jokowi hadiah dari habib luthfi seharga mercedes    ,batuan langka tasbih jokowi hadiah habib luthfi seharga mercedes,batuan langka tasbih jokowi hadiah habib luthfi seharga mercedes,batuan langka tasbih jokowi hadiah habib luthfi seharga mercedes,batu langka tasbih jokowi hadiah habib luthfi harga mercedes,batu langka tasbih jokowi hadiah habib luthfi harga mercedes ,"['batu', 'langka', 'tasbih', 'jokowi', 'hadiah', 'habib', 'luthfi', 'harga', 'mercedes']"
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp","Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",,"Di era Jokowi, ekonomi Indonesia semakin baik.    ","Di era Jokowi, ekonomi Indonesia semakin baik.    ",Di era Jokowi  ekonomi Indonesia semakin baik     ,Di era Jokowi  ekonomi Indonesia semakin baik     ,di era jokowi  ekonomi indonesia semakin baik     ,di era jokowi  ekonomi indonesia semakin baik     ,era jokowi ekonomi indonesia semakin baik,era jokowi ekonomi indonesia semakin baik,era jokowi ekonomi indonesia semakin baik,era jokowi ekonomi indonesia makin baik,era jokowi ekonomi indonesia makin baik ,"['era', 'jokowi', 'ekonomi', 'indonesia', 'makin', 'baik']"
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",Bagi Sumatera Selatan  Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18 5 triliun  Indonesia maju  Jokowi hebat ,Bagi Sumatera Selatan  Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18 5 triliun  Indonesia maju  Jokowi hebat ,bagi sumatera selatan  asian games berdampak pd ekonomi langsung diprediksi mencapai 18 5 triliun  indonesia maju  jokowi hebat ,bagi sumatra selatan  asian games berdampak pada ekonomi langsung diprediksi mencapai 18 5 triliun  indonesia maju  jokowi hebat ,sumatra selatan asian games berdampak ekonomi langsung diprediksi mencapai 18 5 triliun indonesia maju jokowi hebat,sumatra selatan asian games berdampak ekonomi langsung diprediksi mencapai   triliun indonesia maju jokowi hebat,sumatra selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat,sumatra selatan asian games dampak ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat,sumatra selatan asian games dampak ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat ,"['sumatra', 'selatan', 'asian', 'games', 'dampak', 'ekonomi', 'langsung', 'prediksi', 'capai', 'triliun', 'indonesia', 'maju', 'jokowi', 'hebat']"
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat  terus masyarakatnya ngeluh karena negara ngutang  setiap negara itu pasti ngutang   utang bisa dibayar kalo negara dapet penghasilan  Penghasilan negara itu ya dari pajak,Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat  terus masyarakatnya ngeluh karena negara ngutang  setiap negara itu pasti ngutang   utang bisa dibayar kalo negara dapet penghasilan  Penghasilan negara itu ya dari pajak,negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat  terus masyarakatnya ngeluh karena negara ngutang  setiap negara itu pasti ngutang   utang bisa dibayar kalo negara dapet penghasilan  penghasilan negara itu ya dari pajak,negara kita berutang buat bangun infrastruktur yang sudah dipakai masyarakat  terus masyarakatnya mengeluh karena negara berutang  setiap negara itu pasti berutang   hutang bisa dibayar kalau negara dapat penghasilan  penghasilan negara itu iya dari pajak,negara berutang bangun infrastruktur dipakai masyarakat masyarakatnya mengeluh negara berutang negara berutang hutang bisa dibayar negara penghasilan penghasilan negara pajak,negara berutang bangun infrastruktur dipakai masyarakat masyarakatnya mengeluh negara berutang negara berutang hutang bisa dibayar negara penghasilan penghasilan negara pajak,negara berutang bangun infrastruktur dipakai masyarakat masyarakatnya mengeluh negara berutang negara berutang hutang bisa dibayar negara penghasilan penghasilan negara pajak,negara utang bangun infrastruktur pakai masyarakat masyarakat keluh negara utang negara utang hutang bisa bayar negara hasil hasil negara pajak,negara utang bangun infrastruktur pakai masyarakat masyarakat keluh negara utang negara utang hutang bisa bayar negara hasil hasil negara pajak ,"['negara', 'utang', 'bangun', 'infrastruktur', 'pakai', 'masyarakat', 'masyarakat', 'keluh', 'negara', 'utang', 'negara', 'utang', 'hutang', 'bisa', 'bayar', 'negara', 'hasil', 'hasil', 'negara', 'pajak']"
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. ESports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",Yg bisikin pak jokowi  cm mikirin perputaran duit di golongan tertentu  ESports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia  bukan hal fundamental  Betul yg dikatakan prabowo  walau dgn bhs yg sederhana  tp mrpkan aspek fundamental ekonomi,Yg bisikin pak jokowi  cm mikirin perputaran duit di golongan tertentu  ESports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia  bukan hal fundamental  Betul yg dikatakan prabowo  walau dgn bhs yg sederhana  tp mrpkan aspek fundamental ekonomi,yg bisikin pak jokowi  cm mikirin perputaran duit di golongan tertentu  esports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia  bukan hal fundamental  betul yg dikatakan prabowo  walau dgn bhs yg sederhana  tp mrpkan aspek fundamental ekonomi,yang bisikin pak jokowi  cuma memikirkan perputaran uang di golongan tertentu  esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia  bukan hal fundamental  betul yang dikatakan prabowo  walau dengan bahas yang sederhana  tapi mrpkan aspek fundamental ekonomi,bisikin jokowi memikirkan perputaran uang golongan esports sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi,bisikin jokowi memikirkan perputaran uang golongan esports sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi,bisikin jokowi memikirkan perputaran uang golongan esports sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi,bisikin jokowi pikir putar uang golong esports sekian tentu tumbuh ekonomi indonesia bukan fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi,bisikin jokowi pikir putar uang golong esports sekian tentu tumbuh ekonomi indonesia bukan fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi ,"['bisikin', 'jokowi', 'pikir', 'putar', 'uang', 'golong', 'esports', 'sekian', 'tentu', 'tumbuh', 'ekonomi', 'indonesia', 'bukan', 'fundamental', 'prabowo', 'bahas', 'sederhana', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']"
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,Masa tenang msih ngoceh aja  ttp jokowi harga mati   ,Masa tenang msih ngoceh aja  ttp jokowi harga mati   ,masa tenang msih ngoceh aja  ttp jokowi harga mati   ,masa tenang masih mengoceh saja  tetap jokowi harga mati   ,tenang mengoceh jokowi harga mati,tenang mengoceh jokowi harga mati,tenang mengoceh jokowi harga mati,tenang oceh jokowi harga mati,tenang oceh jokowi harga mati ,"['tenang', 'oceh', 'jokowi', 'harga', 'mati']"
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS","#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",,"   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  ","   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  ",   kerjasa ekonomi bilateral  multilateral kita doakan di TPS sambil dengarkan suara hati     ,   kerjasa ekonomi bilateral  multilateral kita doakan di TPS sambil dengarkan suara hati     ,   kerjasa ekonomi bilateral  multilateral kita doakan di tps sambil dengarkan suara hati     ,   kerjasa ekonomi bilateral  multilateral kita doakan di tempat pemungutan suara sambil dengarkan suara hati     ,kerjasa ekonomi bilateral multilateral doakan pemungutan suara dengarkan suara hati,kerjasa ekonomi bilateral multilateral doakan pemungutan suara dengarkan suara hati,kerjasa ekonomi bilateral multilateral doakan pemungutan suara dengarkan suara hati,kerjasa ekonomi bilateral multilateral doa pungut suara dengar suara hati,kerjasa ekonomi bilateral multilateral doa pungut suara dengar suara hati ,"['kerjasa', 'ekonomi', 'bilateral', 'multilateral', 'doa', 'pungut', 'suara', 'dengar', 'suara', 'hati']"
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi 😂 & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & Jumatan🙏👍","Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi  & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & Jumatan🙏",🙏,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi jokowi bukan yg menyalahkan pemimpin sebelumnya SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi 😂 & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & Jumatan🙏👍","Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi jokowi bukan yg menyalahkan pemimpin sebelumnya SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi 😂 & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & Jumatan🙏👍",Iya bener Aa  kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi jokowi bukan yg menyalahkan pemimpin sebelumnya SBYudhoyono dismash sm mas Bowo  percuma koalisi klau mengantam tmn koalisi     yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib  Bisa NGAJI   Jumatan  ,Iya bener Aa  kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi jokowi bukan yg menyalahkan pemimpin sebelumnya SBYudhoyono dismash sm mas Bowo  percuma koalisi klau mengantam tmn koalisi     yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib  Bisa NGAJI   Jumatan  ,iya bener aa  kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo  percuma koalisi klau mengantam tmn koalisi     yg plg penting pilih pemimpin yg rajin ibadah wajib  bisa ngaji   jumatan  ,iya benar kakak  kita mantap kan pilihan ke pemimpin yang bisa memberi solusi jokowi bukan yang menyalahkan pemimpin sebelumnya susilo bambang yudhoyono dismash sama pak prabowo  percuma koalisi kalau mengantam teman koalisi     yang paling penting pilih pemimpin yang rajin ibadah wajib  bisa mengaji   jumatan  ,kakak mantap pilihan pemimpin bisa solusi jokowi bukan menyalahkan pemimpin susilo bambang yudhoyono dismash prabowo koalisi mengantam teman koalisi pilih pemimpin rajin ibadah wajib bisa mengaji jumatan,kakak mantap pilihan pemimpin bisa solusi jokowi bukan menyalahkan pemimpin susilo bambang yudhoyono dismash prabowo koalisi mengantam teman koalisi pilih pemimpin rajin ibadah wajib bisa mengaji jumatan,kakak mantap pilihan pemimpin bisa solusi jokowi bukan menyalahkan pemimpin susilo bambang yudhoyono dismash prabowo koalisi mengantam teman koalisi pilih pemimpin rajin ibadah wajib bisa mengaji jumatan,kakak mantap pilih pimpin bisa solusi jokowi bukan salah pimpin susilo bambang yudhoyono dismash prabowo koalisi mengantam teman koalisi pilih pimpin rajin ibadah wajib bisa kaji jumat,kakak mantap pilih pimpin bisa solusi jokowi bukan salah pimpin susilo bambang yudhoyono dismash prabowo koalisi mengantam teman koalisi pilih pimpin rajin ibadah wajib bisa kaji jumat 🙏,"['kakak', 'mantap', 'pilih', 'pimpin', 'bisa', 'solusi', 'jokowi', 'bukan', 'salah', 'pimpin', 'susilo', 'bambang', 'yudhoyono', 'dismash', 'prabowo', 'koalisi', 'mengantam', 'teman', 'koalisi', 'pilih', 'pimpin', 'rajin', 'ibadah', 'wajib', 'bisa', 'kaji', 'jumat', '🙏']"
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitter👍 .. ... #GoAceh,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitter .. ... #GoAceh,,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  👍 .. ... ,PrabowoSandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  👍 .. ... ,PrabowoSandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah           ,PrabowoSandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah           ,prabowosandi sepakat tak ambil gaji karena negara sedang susah           ,prabowo sandiaga sepakat tidak ambil gaji karena negara sedang susah           ,prabowo sandiaga sepakat tidak ambil gaji negara susah,prabowo sandiaga sepakat tidak ambil gaji negara susah,prabowo sandiaga sepakat tidak ambil gaji negara susah,prabowo sandiaga sepakat tidak ambil gaji negara susah,prabowo sandiaga sepakat tidak ambil gaji negara susah ,"['prabowo', 'sandiaga', 'sepakat', 'tidak', 'ambil', 'gaji', 'negara', 'susah']"
